Target_genes	Stat4|Average	SRX3324130|Natural_Killer_T-Cells	SRX3324132|Natural_Killer_T-Cells	SRX3324134|Natural_Killer_T-Cells	SRX3324136|Natural_Killer_T-Cells	SRX3324138|Natural_Killer_T-Cells	SRX021624|Th1_Cells	SRX021625|Th1_Cells	SRX041279|Th1_Cells	STRING
Tmx2	19.625000	157	0	0	0	0	0	0	0	0
Tmed10	19.625000	157	0	0	0	0	0	0	0	0
Tab1	19.625000	157	0	0	0	0	0	0	0	0
Sypl	19.625000	157	0	0	0	0	0	0	0	0
Sdha	19.625000	157	0	0	0	0	0	0	0	0
Rpp14	19.625000	0	0	0	0	0	157	0	0	0
Polr2e	19.625000	157	0	0	0	0	0	0	0	0
Pin4	19.625000	157	0	0	0	0	0	0	0	0
Phf20l1	19.625000	157	0	0	0	0	0	0	0	0
Patl1	19.625000	157	0	0	0	0	0	0	0	0
Ogt	19.625000	157	0	0	0	0	0	0	0	0
Notch2	19.625000	157	0	0	0	0	0	0	0	0
Nod2	19.625000	0	0	0	0	0	157	0	0	0
Nfe2	19.625000	0	0	0	0	0	157	0	0	0
Nfatc3	19.625000	157	0	0	0	0	0	0	0	0
Mogs	19.625000	0	0	0	0	0	157	0	0	0
Mettl3	19.625000	157	0	0	0	0	0	0	0	0
Med26	19.625000	0	0	80	0	77	0	0	0	0
Med19	19.625000	157	0	0	0	0	0	0	0	0
Map2k5	19.625000	157	0	0	0	0	0	0	0	0
Luc7l2	19.625000	0	0	0	0	0	157	0	0	0
Lonp2	19.625000	157	0	0	0	0	0	0	0	0
Klhl25	19.625000	157	0	0	0	0	0	0	0	0
Kbtbd8	19.625000	157	0	0	0	0	0	0	0	0
Htd2	19.625000	0	0	0	0	0	157	0	0	0
Hsph1	19.625000	157	0	0	0	0	0	0	0	0
Fam149b	19.625000	157	0	0	0	0	0	0	0	0
Faap24	19.625000	157	0	0	0	0	0	0	0	0
Eif4enif1	19.625000	0	0	0	0	0	157	0	0	0
Ecd	19.625000	157	0	0	0	0	0	0	0	0
Ccdc127	19.625000	157	0	0	0	0	0	0	0	0
Arhgef1	19.625000	0	0	0	0	157	0	0	0	0
Ahcy	19.625000	0	0	0	0	0	157	0	0	0
Tigit	19.500000	156	0	0	0	0	0	0	0	0
Tbce	19.500000	0	0	0	0	0	156	0	0	0
Mrpl44	19.500000	0	0	0	0	0	156	0	0	0
Lyzl6	19.500000	0	0	0	0	0	0	156	0	0
Idh3b	19.500000	0	0	0	0	0	156	0	0	0
Gtpbp2	19.500000	156	0	0	0	0	0	0	0	0
Gfi1b	19.500000	0	0	0	0	0	156	0	0	0
Dedd2	19.500000	156	0	0	0	0	0	0	0	0
Ccdc110	19.500000	0	0	0	0	0	0	156	0	0
Zfp566	19.375000	0	0	0	0	0	155	0	0	0
Zfp277	19.375000	0	0	155	0	0	0	0	0	0
Trappc9	19.375000	0	0	155	0	0	0	0	0	0
Tomm34	19.375000	0	0	155	0	0	0	0	0	0
Tmem184b	19.375000	0	0	0	0	0	0	0	155	0
Rhbdd3	19.375000	0	0	0	0	0	155	0	0	0
Rgs2	19.375000	0	0	155	0	0	0	0	0	0
Ralgapb	19.375000	0	0	155	0	0	0	0	0	0
Pwp2	19.375000	0	0	155	0	0	0	0	0	0
Pusl1	19.375000	0	0	155	0	0	0	0	0	0
Ppif	19.375000	0	0	0	0	0	155	0	0	0
Pdxdc1	19.375000	0	0	0	0	0	155	0	0	0
Pcx	19.375000	0	0	0	0	0	155	0	0	0
Pak6	19.375000	0	0	0	0	0	155	0	0	0
Ostf1	19.375000	0	0	155	0	0	0	0	0	0
Nmrk1	19.375000	0	0	155	0	0	0	0	0	0
Mpv17l	19.375000	0	0	0	0	0	155	0	0	0
Marchf3	19.375000	0	0	155	0	0	0	0	0	0
Il1r2	19.375000	0	0	0	0	0	155	0	0	0
Idi1	19.375000	0	0	0	0	0	155	0	0	0
Ewsr1	19.375000	0	0	0	0	0	155	0	0	0
Dynll1	19.375000	0	0	155	0	0	0	0	0	0
Dock4	19.375000	0	0	155	0	0	0	0	0	0
Ddx27	19.375000	0	0	0	0	0	155	0	0	0
Ddost	19.375000	0	0	155	0	0	0	0	0	0
Cpsf6	19.375000	0	0	155	0	0	0	0	0	0
Cdk7	19.375000	0	0	155	0	0	0	0	0	0
Cdca4	19.375000	0	0	0	0	0	155	0	0	0
Ccdc33	19.375000	0	0	0	0	0	155	0	0	0
Aptx	19.375000	0	0	0	0	0	155	0	0	0
Ap1ar	19.375000	0	0	0	0	0	155	0	0	0
Acap3	19.375000	0	0	155	0	0	0	0	0	0
Abhd12	19.375000	0	0	155	0	0	0	0	0	0
Tbcd	19.250000	0	0	0	0	0	154	0	0	0
Snapc4	19.250000	0	0	0	0	0	154	0	0	0
Rgs14	19.250000	0	0	0	0	0	154	0	0	0
Qdpr	19.250000	0	0	0	0	0	154	0	0	0
Polr2k	19.250000	0	0	0	0	0	154	0	0	0
Lsr	19.250000	0	0	0	0	0	154	0	0	0
Gm35549	19.250000	0	0	0	0	0	154	0	0	0
Git1	19.250000	0	0	0	0	0	154	0	0	0
Fam187b	19.250000	0	0	0	0	0	154	0	0	0
Eef1g	19.250000	154	0	0	0	0	0	0	0	0
Dusp10	19.250000	154	0	0	0	0	0	0	0	0
Cxcl11	19.250000	0	0	0	0	0	154	0	0	0
Cd52	19.250000	0	0	0	0	0	154	0	0	0
Bbs5	19.250000	0	0	0	0	0	154	0	0	0
2610301B20Rik	19.250000	0	0	0	0	0	154	0	0	0
1700056E22Rik	19.250000	154	0	0	0	0	0	0	0	0
Sim2	19.125000	0	0	0	0	0	153	0	0	0
Naf1	19.125000	0	0	0	0	0	153	0	0	0
Mfsd1	19.125000	0	0	0	0	0	153	0	0	0
Letm2	19.125000	0	0	0	0	0	153	0	0	0
Kifc2	19.125000	0	0	0	0	0	153	0	0	0
Ift57	19.125000	153	0	0	0	0	0	0	0	0
Gprc5c	19.125000	0	0	0	0	0	153	0	0	0
Ddx46	19.125000	0	0	0	0	0	153	0	0	0
Cyhr1	19.125000	0	0	0	0	0	153	0	0	0
Cbr4	19.125000	0	0	0	0	0	153	0	0	0
BC004004	19.125000	153	0	0	0	0	0	0	0	0
Akna	19.125000	153	0	0	0	0	0	0	0	0
Abr	19.125000	0	0	0	0	0	153	0	0	0
Ttc38	19.000000	0	0	0	0	0	152	0	0	0
Tspan5	19.000000	0	0	0	0	0	152	0	0	0
Tra2b	19.000000	0	0	0	0	0	152	0	0	0
Noct	19.000000	0	0	0	0	0	152	0	0	0
Med11	19.000000	0	0	0	0	0	152	0	0	0
Fbxl3	19.000000	0	0	0	0	0	152	0	0	0
Faah	19.000000	0	0	0	0	0	152	0	0	0
Eno2	19.000000	0	0	0	0	0	152	0	0	0
Dnaja2	19.000000	0	0	0	0	0	152	0	0	0
Dazl	19.000000	0	0	0	0	0	152	0	0	0
C1rl	19.000000	0	0	0	0	0	152	0	0	0
Sbk1	18.875000	151	0	0	0	0	0	0	0	0
Rnf141	18.875000	0	0	0	0	0	151	0	0	0
Ppil3	18.875000	0	0	0	0	0	151	0	0	0
Pim2	18.875000	151	0	0	0	0	0	0	0	0
Nif3l1	18.875000	0	0	0	0	0	151	0	0	0
Ibtk	18.875000	0	0	0	0	0	151	0	0	0
Gxylt1	18.875000	151	0	0	0	0	0	0	0	0
Faf2	18.875000	0	0	0	0	0	151	0	0	0
Btbd6	18.875000	0	0	0	0	0	151	0	0	0
Atp5g2	18.875000	0	0	0	0	0	151	0	0	0
Armc9	18.875000	0	0	0	0	0	151	0	0	0
Znrd1as	18.750000	0	0	0	0	0	150	0	0	0
Znrd1	18.750000	0	0	0	0	0	150	0	0	0
Zfp677	18.750000	0	0	0	0	0	150	0	0	0
Ube2g2	18.750000	150	0	0	0	0	0	0	0	0
Sp3	18.750000	0	0	150	0	0	0	0	0	0
Serinc3	18.750000	0	0	150	0	0	0	0	0	0
Rpl12	18.750000	150	0	0	0	0	0	0	0	0
Peak1	18.750000	150	0	0	0	0	0	0	0	0
Mapkapk3	18.750000	0	0	0	0	0	150	0	0	0
Lrsam1	18.750000	150	0	0	0	0	0	0	0	0
H2bc15	18.750000	150	0	0	0	0	0	0	0	0
H2ac15	18.750000	150	0	0	0	0	0	0	0	0
Gm13285	18.750000	0	0	0	0	0	150	0	0	0
Gm13272	18.750000	0	0	0	0	0	150	0	0	0
Galnt11	18.750000	0	0	0	0	0	150	0	0	0
Fntb	18.750000	0	0	0	0	0	150	0	0	0
Fbxo4	18.750000	0	0	0	0	0	150	0	0	0
Dnajc5	18.750000	78	0	72	0	0	0	0	0	0
Cd38	18.750000	0	0	0	0	0	150	0	0	0
Zfp3	18.625000	0	0	0	0	0	149	0	0	0
Synpo	18.625000	0	0	0	0	0	149	0	0	0
Rassf5	18.625000	0	0	0	0	0	149	0	0	0
Ptp4a2	18.625000	0	0	0	0	0	149	0	0	0
Prune1	18.625000	149	0	0	0	0	0	0	0	0
Nnt	18.625000	0	0	0	0	0	149	0	0	0
Mindy1	18.625000	149	0	0	0	0	0	0	0	0
Lgals1	18.625000	149	0	0	0	0	0	0	0	0
Kctd7	18.625000	149	0	0	0	0	0	0	0	0
Itih5	18.625000	0	0	0	0	0	149	0	0	0
H4c2	18.625000	0	0	0	0	149	0	0	0	0
Gnl2	18.625000	0	0	0	0	0	149	0	0	0
Ctsc	18.625000	0	0	0	0	0	149	0	0	0
Cs	18.625000	0	0	0	0	149	0	0	0	0
Zfp729b	18.500000	148	0	0	0	0	0	0	0	0
Zc3hc1	18.500000	148	0	0	0	0	0	0	0	0
Yars2	18.500000	148	0	0	0	0	0	0	0	0
Wiz	18.500000	148	0	0	0	0	0	0	0	0
Wdr13	18.500000	148	0	0	0	0	0	0	0	0
Tsnaxip1	18.500000	148	0	0	0	0	0	0	0	0
Trappc10	18.500000	148	0	0	0	0	0	0	0	0
Tex10	18.500000	148	0	0	0	0	0	0	0	0
Tamm41	18.500000	0	0	0	0	0	148	0	0	0
Rpl29	18.500000	148	0	0	0	0	0	0	0	0
Rnf40	18.500000	148	0	0	0	0	0	0	0	0
Rnf220	18.500000	148	0	0	0	0	0	0	0	0
Rbm8a	18.500000	148	0	0	0	0	0	0	0	0
Ranbp10	18.500000	148	0	0	0	0	0	0	0	0
Pura	18.500000	0	0	0	0	0	148	0	0	0
Ptrhd1	18.500000	0	0	0	0	0	148	0	0	0
Pou5f1	18.500000	148	0	0	0	0	0	0	0	0
Pigs	18.500000	148	0	0	0	0	0	0	0	0
Paxx	18.500000	148	0	0	0	0	0	0	0	0
Nob1	18.500000	0	0	0	0	0	148	0	0	0
Mvk	18.500000	148	0	0	0	0	0	0	0	0
Mrps31	18.500000	0	0	0	0	0	148	0	0	0
Mmab	18.500000	148	0	0	0	0	0	0	0	0
Med25	18.500000	148	0	0	0	0	0	0	0	0
Letm1	18.500000	148	0	0	0	0	0	0	0	0
Leng1	18.500000	148	0	0	0	0	0	0	0	0
Klhdc10	18.500000	0	0	0	0	0	148	0	0	0
Kdm5b	18.500000	0	0	0	0	0	148	0	0	0
Ilkap	18.500000	148	0	0	0	0	0	0	0	0
Hsdl1	18.500000	148	0	0	0	0	0	0	0	0
Golph3	18.500000	148	0	0	0	0	0	0	0	0
Gfod2	18.500000	148	0	0	0	0	0	0	0	0
Gdi2	18.500000	148	0	0	0	0	0	0	0	0
Dnaaf1	18.500000	148	0	0	0	0	0	0	0	0
Chac2	18.500000	148	0	0	0	0	0	0	0	0
Cenpo	18.500000	0	0	0	0	0	148	0	0	0
Ccdc189	18.500000	148	0	0	0	0	0	0	0	0
Bfar	18.500000	148	0	0	0	0	0	0	0	0
Ap5z1	18.500000	148	0	0	0	0	0	0	0	0
Abcc5	18.500000	0	0	0	0	0	148	0	0	0
Abcc10	18.500000	148	0	0	0	0	0	0	0	0
0610010K14Rik	18.500000	148	0	0	0	0	0	0	0	0
Ywhaq	18.375000	0	0	147	0	0	0	0	0	0
Uqcc3	18.375000	0	0	0	0	0	147	0	0	0
Rps26	18.375000	147	0	0	0	0	0	0	0	0
Rnasel	18.375000	0	0	0	0	0	147	0	0	0
Ppp4r3a	18.375000	0	0	0	0	0	147	0	0	0
Pex5	18.375000	0	0	0	0	0	147	0	0	0
Ltv1	18.375000	0	0	0	0	0	147	0	0	0
Itpr3	18.375000	0	0	0	0	0	147	0	0	0
Evl	18.375000	147	0	0	0	0	0	0	0	0
Eef2	18.375000	147	0	0	0	0	0	0	0	0
Cacul1	18.375000	0	0	0	0	0	147	0	0	0
Zfp36l1	18.250000	146	0	0	0	0	0	0	0	0
Wnt10b	18.250000	146	0	0	0	0	0	0	0	0
Ubxn6	18.250000	146	0	0	0	0	0	0	0	0
Ubiad1	18.250000	0	0	146	0	0	0	0	0	0
Ttll1	18.250000	0	0	146	0	0	0	0	0	0
Tepsin	18.250000	0	0	146	0	0	0	0	0	0
Tbc1d5	18.250000	0	0	0	0	0	146	0	0	0
Tbc1d10a	18.250000	0	0	146	0	0	0	0	0	0
Swi5	18.250000	0	0	146	0	0	0	0	0	0
Sptssa	18.250000	0	0	146	0	0	0	0	0	0
Snupn	18.250000	0	0	146	0	0	0	0	0	0
Smdt1	18.250000	0	0	146	0	0	0	0	0	0
Slc35a5	18.250000	0	0	146	0	0	0	0	0	0
Slc25a33	18.250000	0	0	146	0	0	0	0	0	0
Serhl	18.250000	0	0	146	0	0	0	0	0	0
Rpl23a	18.250000	146	0	0	0	0	0	0	0	0
Pde3b	18.250000	0	0	146	0	0	0	0	0	0
Nedd1	18.250000	0	0	146	0	0	0	0	0	0
Ndufaf8	18.250000	0	0	146	0	0	0	0	0	0
Nars	18.250000	0	0	146	0	0	0	0	0	0
Mvd	18.250000	0	0	146	0	0	0	0	0	0
Matk	18.250000	0	0	0	0	0	146	0	0	0
Map2k4	18.250000	0	0	146	0	0	0	0	0	0
Kctd20	18.250000	0	0	146	0	0	0	0	0	0
Hdgfl2	18.250000	146	0	0	0	0	0	0	0	0
Golga2	18.250000	0	0	146	0	0	0	0	0	0
Gmfb	18.250000	0	0	146	0	0	0	0	0	0
Frmd6	18.250000	0	0	0	0	0	146	0	0	0
Frat2	18.250000	0	0	0	0	0	146	0	0	0
Dvl3	18.250000	0	0	146	0	0	0	0	0	0
Dus2	18.250000	0	0	0	0	0	0	146	0	0
Ddx28	18.250000	0	0	0	0	0	0	146	0	0
Cks2	18.250000	146	0	0	0	0	0	0	0	0
Ccndbp1	18.250000	0	0	0	0	0	146	0	0	0
Atg3	18.250000	0	0	146	0	0	0	0	0	0
Arpc1a	18.250000	0	0	146	0	0	0	0	0	0
Traf2	18.125000	0	0	0	0	0	145	0	0	0
Rac1	18.125000	0	0	0	0	0	145	0	0	0
Polr3b	18.125000	0	0	0	0	0	145	0	0	0
Polr1b	18.125000	0	0	0	0	0	145	0	0	0
Otud5	18.125000	0	0	0	0	0	145	0	0	0
Minpp1	18.125000	0	0	0	0	0	145	0	0	0
Gm4841	18.125000	0	0	0	0	0	145	0	0	0
F8a	18.125000	0	0	0	0	0	145	0	0	0
Vps37a	18.000000	0	0	144	0	0	0	0	0	0
Ubxn2b	18.000000	0	0	0	0	0	144	0	0	0
Tmem164	18.000000	0	0	0	0	0	144	0	0	0
Tle1	18.000000	0	0	0	0	0	144	0	0	0
Specc1	18.000000	0	0	0	0	0	144	0	0	0
Smpdl3b	18.000000	0	0	0	0	0	144	0	0	0
Smg1	18.000000	0	0	0	0	0	144	0	0	0
Selenow	18.000000	0	0	0	0	0	144	0	0	0
Ptbp2	18.000000	0	0	0	0	0	144	0	0	0
Pcp4	18.000000	0	0	0	0	0	144	0	0	0
Josd1	18.000000	0	0	0	0	0	144	0	0	0
Il6	18.000000	144	0	0	0	0	0	0	0	0
Gba	18.000000	0	0	0	0	0	144	0	0	0
Ffar4	18.000000	0	0	0	0	0	144	0	0	0
Emc2	18.000000	0	0	0	0	0	144	0	0	0
Dcaf15	18.000000	144	0	0	0	0	0	0	0	0
Cnot7	18.000000	0	0	144	0	0	0	0	0	0
Cd6	18.000000	0	0	0	0	0	144	0	0	0
Borcs6	18.000000	144	0	0	0	0	0	0	0	0
Bloc1s6	18.000000	0	0	0	0	0	144	0	0	0
Trappc3	17.875000	0	0	0	0	0	143	0	0	0
Scnm1	17.875000	143	0	0	0	0	0	0	0	0
Pmm1	17.875000	0	0	0	0	0	143	0	0	0
Lysmd1	17.875000	143	0	0	0	0	0	0	0	0
Lsmem1	17.875000	0	0	0	0	0	143	0	0	0
Kat2b	17.875000	0	0	0	0	0	143	0	0	0
Ifngr2	17.875000	143	0	0	0	0	0	0	0	0
Hsbp1	17.875000	0	0	0	0	0	143	0	0	0
Eif4e2	17.875000	0	0	0	0	0	143	0	0	0
Atmin	17.875000	0	0	0	0	0	143	0	0	0
Tbcel	17.750000	0	0	0	0	0	142	0	0	0
Scamp4	17.750000	0	0	0	0	0	142	0	0	0
Rpusd4	17.750000	0	0	0	0	0	142	0	0	0
Rad1	17.750000	0	0	0	0	0	142	0	0	0
Pak2	17.750000	0	0	0	0	0	142	0	0	0
Nudt18	17.750000	142	0	0	0	0	0	0	0	0
Nol6	17.750000	0	0	0	0	0	142	0	0	0
Mnd1	17.750000	0	0	0	0	0	142	0	0	0
Kmt5a	17.750000	0	0	0	0	0	142	0	0	0
Iars	17.750000	0	0	0	0	0	142	0	0	0
Fam118b	17.750000	0	0	0	0	0	142	0	0	0
F2rl1	17.750000	0	0	0	0	0	142	0	0	0
Ddx43	17.750000	0	0	0	0	0	142	0	0	0
Cenps	17.750000	0	0	0	0	0	142	0	0	0
Brix1	17.750000	0	0	0	0	0	142	0	0	0
Adat3	17.750000	0	0	0	0	0	142	0	0	0
Acaca	17.750000	0	0	0	0	0	142	0	0	0
4930451I11Rik	17.750000	0	0	0	0	0	142	0	0	0
Zfp975	17.625000	0	0	0	0	0	141	0	0	0
Xrcc5	17.625000	0	0	0	0	0	141	0	0	0
Urb1	17.625000	0	0	0	0	0	141	0	0	0
Tor3a	17.625000	0	0	0	0	0	141	0	0	0
Tbc1d1	17.625000	141	0	0	0	0	0	0	0	0
Rab3d	17.625000	0	0	0	0	0	141	0	0	0
N4bp1	17.625000	0	0	0	0	0	141	0	0	0
Midn	17.625000	0	0	0	0	0	141	0	0	0
Mgat5	17.625000	0	0	0	0	0	141	0	0	0
Kansl1	17.625000	141	0	0	0	0	0	0	0	0
Irf2bpl	17.625000	141	0	0	0	0	0	0	0	0
Fam13b	17.625000	0	0	0	0	0	141	0	0	0
Fam131a	17.625000	0	0	0	0	0	141	0	0	0
Elp6	17.625000	0	0	0	0	0	141	0	0	0
Dlgap5	17.625000	0	0	0	0	0	141	0	0	0
Coro2a	17.625000	0	0	0	0	0	141	0	0	0
Cnksr3	17.625000	141	0	0	0	0	0	0	0	0
Clu	17.625000	0	0	0	0	0	141	0	0	0
Arrdc3	17.625000	141	0	0	0	0	0	0	0	0
9130401M01Rik	17.625000	0	0	0	0	0	141	0	0	0
Zcchc2	17.500000	0	0	140	0	0	0	0	0	0
Wdr74	17.500000	0	0	0	0	0	140	0	0	0
Tor4a	17.500000	140	0	0	0	0	0	0	0	0
Lef1	17.500000	0	0	0	0	0	140	0	0	0
Gatd3a	17.500000	0	0	0	0	0	140	0	0	0
Fzd5	17.500000	0	0	140	0	0	0	0	0	0
Cxcl9	17.500000	0	0	0	0	0	140	0	0	0
Cox6c	17.500000	0	0	0	0	0	140	0	0	0
Adck5	17.500000	0	0	0	0	0	140	0	0	0
Zfand2a	17.375000	139	0	0	0	0	0	0	0	0
Yae1d1	17.375000	0	0	0	0	0	139	0	0	0
Washc4	17.375000	139	0	0	0	0	0	0	0	0
Vmp1	17.375000	0	0	0	0	0	139	0	0	0
Trnt1	17.375000	139	0	0	0	0	0	0	0	0
Tmem168	17.375000	139	0	0	0	0	0	0	0	0
Stx16	17.375000	0	0	0	0	0	139	0	0	0
Six5	17.375000	0	0	0	0	0	139	0	0	0
Samd8	17.375000	139	0	0	0	0	0	0	0	0
Rnf166	17.375000	139	0	0	0	0	0	0	0	0
Rida	17.375000	139	0	0	0	0	0	0	0	0
Rhoh	17.375000	0	0	0	0	0	139	0	0	0
Rasgrp1	17.375000	0	0	0	0	0	139	0	0	0
Ptrh2	17.375000	0	0	0	0	0	139	0	0	0
Pop1	17.375000	139	0	0	0	0	0	0	0	0
Papss1	17.375000	0	0	0	0	0	139	0	0	0
Pak1	17.375000	0	0	0	0	0	139	0	0	0
Ndufa9	17.375000	139	0	0	0	0	0	0	0	0
Mlycd	17.375000	139	0	0	0	0	0	0	0	0
Kin	17.375000	139	0	0	0	0	0	0	0	0
Kcnq5	17.375000	0	0	0	0	0	139	0	0	0
Il27ra	17.375000	0	0	0	0	0	139	0	0	0
Ifnlr1	17.375000	0	0	0	0	0	139	0	0	0
Ifi27	17.375000	0	0	0	0	0	139	0	0	0
Hlcs	17.375000	139	0	0	0	0	0	0	0	0
Hcar2	17.375000	139	0	0	0	0	0	0	0	0
Gbp8	17.375000	139	0	0	0	0	0	0	0	0
Ganab	17.375000	139	0	0	0	0	0	0	0	0
Fam126a	17.375000	139	0	0	0	0	0	0	0	0
Dpy19l3	17.375000	0	0	0	0	0	139	0	0	0
Dbi	17.375000	139	0	0	0	0	0	0	0	0
Cox8a	17.375000	139	0	0	0	0	0	0	0	0
Cnot6	17.375000	0	0	0	0	139	0	0	0	0
Chrnb1	17.375000	139	0	0	0	0	0	0	0	0
Ccdc124	17.375000	139	0	0	0	0	0	0	0	0
Brd4	17.375000	139	0	0	0	0	0	0	0	0
Atp5c1	17.375000	139	0	0	0	0	0	0	0	0
Aktip	17.375000	139	0	0	0	0	0	0	0	0
Adam10	17.375000	139	0	0	0	0	0	0	0	0
Acad12	17.375000	139	0	0	0	0	0	0	0	0
9530068E07Rik	17.375000	0	0	0	0	0	139	0	0	0
3110009E18Rik	17.375000	139	0	0	0	0	0	0	0	0
Zfp712	17.250000	0	0	0	0	0	138	0	0	0
Zfp46	17.250000	0	0	0	0	0	138	0	0	0
Zfp398	17.250000	0	0	0	0	0	138	0	0	0
Ssr2	17.250000	0	0	0	0	0	138	0	0	0
Prpf8	17.250000	138	0	0	0	0	0	0	0	0
Mad2l2	17.250000	0	0	0	0	0	138	0	0	0
Kpnb1	17.250000	138	0	0	0	0	0	0	0	0
Eif3d	17.250000	138	0	0	0	0	0	0	0	0
Cyfip2	17.250000	0	0	0	0	0	138	0	0	0
Cep70	17.250000	0	0	0	0	0	138	0	0	0
Bckdhb	17.250000	0	0	0	0	0	138	0	0	0
Zkscan6	17.125000	0	0	137	0	0	0	0	0	0
Tmed4	17.125000	0	0	0	0	0	137	0	0	0
Taok3	17.125000	0	0	137	0	0	0	0	0	0
Rae1	17.125000	0	0	137	0	0	0	0	0	0
P2rx5	17.125000	0	0	0	0	0	137	0	0	0
Odf2	17.125000	0	0	137	0	0	0	0	0	0
Nrbf2	17.125000	0	0	137	0	0	0	0	0	0
Mthfsd	17.125000	0	0	137	0	0	0	0	0	0
Mroh1	17.125000	0	0	137	0	0	0	0	0	0
Mkrn2	17.125000	0	0	0	0	0	137	0	0	0
Mknk1	17.125000	0	0	137	0	0	0	0	0	0
Mia2	17.125000	0	0	137	0	0	0	0	0	0
Mapk8ip3	17.125000	0	0	137	0	0	0	0	0	0
Maea	17.125000	0	0	137	0	0	0	0	0	0
Khnyn	17.125000	0	0	137	0	0	0	0	0	0
Ipmk	17.125000	137	0	0	0	0	0	0	0	0
Gpbp1l1	17.125000	0	0	0	0	137	0	0	0	0
Dnajc8	17.125000	0	0	137	0	0	0	0	0	0
Ddx19b	17.125000	137	0	0	0	0	0	0	0	0
Cep78	17.125000	0	0	137	0	0	0	0	0	0
Cbln3	17.125000	0	0	137	0	0	0	0	0	0
Carnmt1	17.125000	0	0	137	0	0	0	0	0	0
Cabin1	17.125000	0	0	0	0	0	137	0	0	0
Cab39	17.125000	0	0	137	0	0	0	0	0	0
Baiap2	17.125000	0	0	137	0	0	0	0	0	0
Atpif1	17.125000	0	0	137	0	0	0	0	0	0
Ap1s3	17.125000	0	0	0	0	0	137	0	0	0
AI987944	17.125000	0	0	0	0	0	137	0	0	0
Adprh	17.125000	0	0	137	0	0	0	0	0	0
Zfp827	17.000000	0	0	0	0	0	136	0	0	0
Ppp1ccb	17.000000	136	0	0	0	0	0	0	0	0
Ppp1cc	17.000000	136	0	0	0	0	0	0	0	0
Nhlrc1	17.000000	0	0	0	0	0	136	0	0	0
Naa30	17.000000	0	0	0	0	0	136	0	0	0
Kif20a	17.000000	0	0	0	0	0	136	0	0	0
Hmox1	17.000000	0	0	0	0	0	136	0	0	0
Clec18a	17.000000	0	0	0	0	0	136	0	0	0
Cd14	17.000000	0	0	0	0	0	136	0	0	0
Btbd8	17.000000	0	0	0	0	0	136	0	0	0
Brd8	17.000000	0	0	0	0	0	136	0	0	0
Aldh3a2	17.000000	0	0	136	0	0	0	0	0	0
Zfp85	16.875000	0	0	0	0	0	135	0	0	0
Ttc33	16.875000	0	0	0	0	0	135	0	0	0
St6galnac6	16.875000	0	0	0	0	0	135	0	0	0
Slc35e4	16.875000	0	0	0	0	0	135	0	0	0
Pstk	16.875000	0	0	0	0	0	135	0	0	0
Prkch	16.875000	0	0	0	0	0	135	0	0	0
Mrpl34	16.875000	135	0	0	0	0	0	0	0	0
Khdc1b	16.875000	135	0	0	0	0	0	0	0	0
Hrh1	16.875000	0	0	0	0	0	135	0	0	0
Fubp1	16.875000	0	0	135	0	0	0	0	0	0
Dnmt1	16.875000	0	0	0	0	0	135	0	0	0
Dnajb4	16.875000	0	0	135	0	0	0	0	0	0
Ccr8	16.875000	0	0	0	0	0	135	0	0	0
Arl6	16.875000	0	0	0	0	0	135	0	0	0
Afg3l1	16.875000	0	0	0	0	0	135	0	0	0
Zfp707	16.750000	0	0	0	0	0	134	0	0	0
Xpa	16.750000	0	0	0	0	0	134	0	0	0
Sgms1	16.750000	0	0	0	0	0	134	0	0	0
Scin	16.750000	0	0	0	0	0	134	0	0	0
Rhot2	16.750000	0	0	0	0	0	134	0	0	0
Rab12	16.750000	0	0	0	0	0	134	0	0	0
Gpatch8	16.750000	0	0	0	0	0	134	0	0	0
Foxj3	16.750000	0	0	0	0	0	134	0	0	0
Dlgap3	16.750000	0	0	0	0	0	134	0	0	0
Crkl	16.750000	134	0	0	0	0	0	0	0	0
Car11	16.750000	0	0	0	0	0	134	0	0	0
C2cd5	16.750000	0	0	0	0	0	134	0	0	0
Becn1	16.750000	0	0	0	0	0	134	0	0	0
Antxr2	16.750000	0	0	0	0	0	134	0	0	0
Alkbh5	16.750000	134	0	0	0	0	0	0	0	0
Acp6	16.750000	0	0	0	0	0	134	0	0	0
Tmem229b	16.625000	133	0	0	0	0	0	0	0	0
Tmem154	16.625000	0	0	0	0	0	133	0	0	0
Snw1	16.625000	0	0	0	0	0	133	0	0	0
Rrp15	16.625000	0	0	0	0	0	133	0	0	0
Rps6ka4	16.625000	0	0	0	0	0	133	0	0	0
Ramp1	16.625000	0	0	0	0	0	0	133	0	0
Prps2	16.625000	0	0	0	0	0	133	0	0	0
Pqlc3	16.625000	0	0	0	0	0	133	0	0	0
Mrpl23	16.625000	0	0	0	0	0	133	0	0	0
Mmd	16.625000	0	0	133	0	0	0	0	0	0
Lypla2	16.625000	0	0	0	0	0	133	0	0	0
Itgb7	16.625000	133	0	0	0	0	0	0	0	0
Fzd7	16.625000	0	0	0	0	0	133	0	0	0
Edc4	16.625000	0	0	0	0	0	133	0	0	0
Dhx9	16.625000	133	0	0	0	0	0	0	0	0
Ccdc142	16.625000	0	0	0	0	0	133	0	0	0
Zfp869	16.500000	132	0	0	0	0	0	0	0	0
Zfp748	16.500000	0	0	0	0	0	132	0	0	0
